Selected for Sampling,Complaint Log Year,Complaint Log Month,Program - BIN,Bank Approved Program Name,Program - Bin Type (SF),Consumer Full Name,Account Token/ID,Date Complaint  Received,Compliant End Date,Days Open,Days Elapsed Calculated,True Complaint or Inquiry?,Complaint Source,Complaint Type,Root Cause,Root Cause Narrative,Complaint Details,Brief Summary of Resolution,Response,Program - Customer Support Method
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,189-act,1/15/25,1/15/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Moses Nadel invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Moses Nadel will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,190-act,1/15/25,1/15/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Y. Global invited friends through a referral link to create an account and use services. Once the referral journey is completed, Y. Global will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,191-act,1/16/25,1/16/25,,0,Inquiry,Aloware (Call),Customer Service,,,Referral rewards not provisioned,"Jade Conley invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Jade Conley will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,192-act,1/16/25,1/16/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Francis Nguyen invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Francis Nguyen will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,193-act,1/16/25,1/16/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"yitzchok fortgang  invited a friend through a referral link to create an account and use services. Once the referral journey is completed, yitzchok fortgang will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,194-act,1/17/25,1/17/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Mendy Friedman invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Mendy Friedman will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,195-act,1/19/25,1/19/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"David Parkinson invited a friend through a referral link to create an account and use services. Once the referral journey is completed, David Parkinson will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,196-act,1/19/25,1/19/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"YANBING ZENG invited a friend through a referral link to create an account and use services. Once the referral journey is completed, YANBING ZENG will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,197-act,1/20/25,1/21/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Mark Hoppe invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Mark Hoppe will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,198-act,1/20/25,1/21/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"yitzchok fortgang invited friends through a referral link to create an account and use services. Once the referral journey is completed, yitzchok fortgang will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,199-act,1/21/25,1/23/25,,2,Inquiry,Aloware (Call),Customer Service,,,Referral rewards not provisioned,"Izzy Goldfuss invited friends through a referral link to create an account and use services. Once the referral journey is completed, Izzy Goldfuss will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,200-act,1/21/25,1/23/25,,2,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Syeda Hillary invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Syeda Hillary will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,201-act,1/22/25,1/23/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"leah einhorn invited a friend through a referral link to create an account and use services. Once the referral journey is completed, leah einhorn will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,202-act,1/23/25,1/23/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Boyu Liu invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Boyu Liu will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,203-act,1/25/25,1/27/25,,2,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"5109081708 5109081708 invited a friend through a referral link to create an account and use services. Once the referral journey is completed, 5109081708 5109081708 will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,204-act,1/27/25,1/27/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Seil Chung invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Seil Chung will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,205-act,1/27/25,1/28/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Marsel Abdullin invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Marsel Abdullin will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,206-act,1/27/25,1/28/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Igor Andreev invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Igor Andreev will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,207-act,1/28/25,1/28/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Kenneth Simpson invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Kenneth Simpson will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,208-act,1/30/25,1/31/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Pranay Kantilal Parmar invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Pranay Kantilal Parmar will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,209-act,1/30/25,1/31/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Haswanth Panguluri invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Haswanth Panguluri will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,210-act,1/30/25,1/31/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Shubham Patel invited friends through a referral link to create an account and use services. Once the referral journey is completed, Shubham Patel will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,211-act,1/31/25,1/31/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"blake pratt invited a friend through a referral link to create an account and use services. Once the referral journey is completed, blake pratt will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,212-act,2/1/25,2/3/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Sharmila Annamreddy invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Sharmila Annamreddy will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,213-act,2/2/25,2/3/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Yisroel Sonnenschein invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Yisroel Sonnenschein will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,214-act,2/2/25,2/3/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"8456626623 8456626623 invited friends through a referral link to create an account and use services. Once the referral journey is completed,8456626623 8456626623 will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,215-act,2/3/25,2/3/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Elliot Radov invited friends through a referral link to create an account and use services. Once the referral journey is completed, Elliot Radov will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,216-act,2/3/25,2/6/25,,3,,Front (Chat),,,,Referral rewards not provisioned,"eli stern invited friends through a referral link to create an account and use services. Once the referral journey is completed,eli stern will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,217-act,2/3/25,2/6/25,,3,,Front (Chat),,,,Referral rewards not provisioned,"ShengZheng Liu invited a friend through a referral link to create an account and use services. Once the referral journey is completed, ShengZheng Liu will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,218-act,2/3/25,2/6/25,,3,,Front (Chat),,,,Referral rewards not provisioned,"Joseph Rosenberg invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Joseph Rosenberg will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,219-act,2/3/25,2/6/25,,3,,Front (Chat),,,,Referral rewards not provisioned,"ABHISHEK PRATAP Singh invited a friend through a referral link to create an account and use services. Once the referral journey is completed, ABHISHEK PRATAP Singh will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,220-act,2/3/25,2/6/25,,3,,Front (Chat),,,,Referral rewards not provisioned,"Heegeon Yang invited friends through a referral link to create an account and use services. Once the referral journey is completed, Heegeon Yang will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,221-act,2/4/25,2/6/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Andres Bahamon invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Andres Bahamon will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,222-act,2/5/25,2/6/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Awaiz Chaudhary invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Awaiz Chaudhary will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,223-act,2/5/25,2/6/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Daniel Bansale invited friends through a referral link to create an account and use services. Once the referral journey is completed, Daniel Bansale will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,224-act,2/5/25,2/6/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Angela Dorsey invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Angela Dorsey will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,225-act,2/6/25,2/6/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Moshe Kohn invited friends through a referral link to create an account and use services. Once the referral journey is completed, Moshe Kohn will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,226-act,2/6/25,2/6/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Franz Stoll invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Franz Stoll will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,227-act,2/6/25,2/6/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Ahmad ferooz invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Ahmad ferooz will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,228-act,2/6/25,2/6/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Bet Se invited friends through a referral link to create an account and use services. Once the referral journey is completed, Bet Se will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,229-act,2/6/25,2/7/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Vincente Fernandes invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Vincente Fernandes will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,230-act,2/7/25,2/7/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Dovid Fishman invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Dovid Fishman will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,231-act,2/8/25,2/10/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Antonios Angelidis invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Antonios Angelidis will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,232-act,2/8/25,2/10/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Mike Pol invited friends through a referral link to create an account and use services. Once the referral journey is completed, Mike Pol will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,233-act,2/8/25,2/10/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Chelsia Kwon invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Chelsia Kwon will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,234-act,2/13/25,2/14/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Pete Nicholls invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Pete Nicholls will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,235-act,2/15/25,2/17/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Tanner Harman invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Tanner Harman will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,236-act,2/16/25,2/17/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"pooja yong invited a friend through a referral link to create an account and use services. Once the referral journey is completed, pooja yong will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,237-act,2/18/25,2/19/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Ashrith Barthur invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Ashrith Barthur will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,238-act,2/18/25,2/19/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Rick Silen invited friends through a referral link to create an account and use services. Once the referral journey is completed,Rick Silen will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,239-act,2/19/25,2/19/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Breindy Weissinvited a friend through a referral link to create an account and use services. Once the referral journey is completed,Breindy Weiss will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,240-act,2/19/25,2/20/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Darrel kirk invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Darrel kirk will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,241-act,2/22/25,2/24/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Josh DeNutte invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Josh DeNutte will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,242-act,2/22/25,2/24/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Yovany Tajiboy invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Yovany Tajiboy will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,243-act,2/22/25,2/24/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Suk Yee Lau invited friends through a referral link to create an account and use services. Once the referral journey is completed, Suk Yee Lau will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,244-act,2/22/25,2/24/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Appala Siruvuri invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Appala Siruvuri will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,245-act,2/22/25,2/24/25,,2,,Front (Chat),,,,Referral rewards not provisioned,"Nevedita Kailasam invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Nevedita Kailasam will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,246-act,2/23/25,2/24/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Nelson Salgado invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Nelson Salgado will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,247-act,2/24/25,2/24/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Miriam Radov invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Miriam Radov will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,248-act,2/24/25,2/24/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Siyang Liu invited friends through a referral link to create an account and use services. Once the referral journey is completed, Siyang Liu will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,249-act,2/24/25,2/24/25,,0,,Front (Chat),,,,Referral rewards not provisioned,"Matt Wang invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Matt Wang will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,250-act,2/26/25,2/27/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Huixia Lin invited friends through a referral link to create an account and use services. Once the referral journey is completed, Huixia Lin will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,251-act,2/26/25,2/27/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Becky Romero invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Becky Romero will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,252-act,2/26/25,2/27/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Michael Mazengarb invited friends through a referral link to create an account and use services. Once the referral journey is completed, Michael Mazengarb will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,253-act,2/26/25,2/27/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Bjorn Gunderseninvited a friend through a referral link to create an account and use services. Once the referral journey is completed, Bjorn Gundersen will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,254-act,2/26/25,2/27/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Edward Radov invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Edward Radov will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,255-act,2/27/25,2/28/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"Yashu Patel invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Yashu Patel will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,256-act,2/27/25,2/28/25,,1,,Front (Chat),,,,Referral rewards not provisioned,"9894485839 9894485839 invited a friend through a referral link to create an account and use services. Once the referral journey is completed,9894485839 9894485839 will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,257-act,2/28/25,3/3/25,,3,,Front (Chat),,,,Referral rewards not provisioned,"Dhanya Venkataraman invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Dhanya Venkataraman will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
